point_id,year,BN-78/9180-11: 1.0-0.1 mm [%],BN-78/9180-11: 0.1-0.02 mm [%],BN-78/9180-11: < 0.02 mm [%],PTG 2008: 0.05-0.002 mm [%],PTG 2008: 2.0-0.05 mm [%],PTG 2008: < 0.002 mm [%]
153,2010,62.0,25.0,13.0,25.0,74.0,1.0
153,2015,67.0,20.0,13.0,24.0,75.0,1.0
153,2020,42.0,39.0,19.0,41.0,53.0,6.0
155,1995,87.0,9.0,4.0,,,1.0
155,2000,86.0,9.0,5.0,,,2.0
155,2005,82.0,12.0,6.0,,,1.0
155,2010,88.0,7.0,5.0,6.0,93.0,1.0
155,2015,91.0,5.0,4.0,6.0,94.0,0.0
155,2020,60.0,31.0,9.0,25.0,73.0,2.0
157,1995,79.0,13.0,8.0,,,3.0
157,2000,85.0,7.0,8.0,,,2.0
157,2005,80.0,12.0,8.0,,,1.0
157,2010,88.0,5.0,7.0,8.0,91.0,1.0
157,2015,84.0,9.0,7.0,10.0,89.0,1.0
157,2020,68.0,19.0,13.0,15.0,83.0,2.0
159,1995,75.0,14.0,11.0,,,1.0
159,2000,75.0,13.0,12.0,,,3.0
159,2005,76.0,14.0,10.0,,,1.0
159,2010,73.0,17.0,10.0,15.0,84.0,1.0
159,2015,79.0,16.0,5.0,9.0,90.0,1.0
159,2020,65.0,26.0,9.0,19.0,79.0,2.0
161,1995,64.0,21.0,15.0,,,5.0
161,2000,69.0,17.0,14.0,,,4.0
161,2005,66.0,18.0,16.0,,,4.0
161,2010,65.0,20.0,15.0,20.0,77.0,3.0
161,2015,67.0,18.0,15.0,19.0,79.0,2.0
161,2020,67.0,20.0,13.0,14.0,81.0,5.0
163,1995,61.0,25.0,14.0,,,5.0
163,2000,62.0,24.0,14.0,,,4.0
163,2005,62.0,24.0,14.0,,,3.0
163,2010,63.0,24.0,13.0,24.0,75.0,1.0
163,2015,67.0,22.0,11.0,23.0,76.0,1.0
163,2020,44.0,35.0,21.0,40.0,55.0,5.0
165,1995,39.0,40.0,21.0,,,4.0
165,2000,40.0,38.0,22.0,,,6.0
165,2005,42.0,39.0,19.0,,,2.0
165,2010,40.0,39.0,21.0,42.0,54.0,4.0
165,2015,36.0,43.0,21.0,47.0,50.0,3.0
165,2020,28.0,44.0,28.0,58.0,37.0,5.0
167,1995,59.0,21.0,20.0,,,7.0
167,2000,62.0,21.0,17.0,,,8.0
167,2005,63.0,18.0,19.0,,,5.0
167,2010,66.0,18.0,16.0,20.0,78.0,2.0
167,2015,73.0,17.0,10.0,15.0,84.0,1.0
167,2020,47.0,36.0,17.0,37.0,59.0,4.0
169,1995,63.0,26.0,11.0,,,4.0
169,2000,61.0,28.0,11.0,,,2.0
169,2005,67.0,22.0,11.0,,,3.0
169,2010,63.0,27.0,10.0,18.0,80.0,2.0
169,2015,63.0,30.0,7.0,18.0,81.0,1.0
169,2020,43.0,36.0,21.0,40.0,55.0,5.0
171,1995,49.0,30.0,21.0,,,3.0
171,2000,46.0,30.0,24.0,,,4.0
171,2005,48.0,32.0,20.0,,,4.0
171,2010,49.0,31.0,20.0,37.0,61.0,2.0
171,2015,51.0,33.0,16.0,34.0,64.0,2.0
171,2020,48.0,37.0,15.0,36.0,60.0,4.0
173,1995,60.0,28.0,12.0,,,2.0
173,2000,58.0,30.0,12.0,,,3.0
173,2005,58.0,31.0,11.0,,,4.0
173,2010,58.0,29.0,13.0,25.0,73.0,2.0
173,2015,63.0,29.0,8.0,20.0,78.0,2.0
173,2020,50.0,35.0,15.0,33.0,63.0,4.0
175,1995,66.0,28.0,6.0,,,1.0
175,2000,68.0,26.0,6.0,,,1.0
175,2005,65.0,29.0,6.0,,,1.0
175,2010,66.0,28.0,6.0,14.0,85.0,1.0
175,2015,68.0,26.0,6.0,12.0,87.0,1.0
175,2020,56.0,29.0,15.0,27.0,69.0,4.0
177,1995,26.0,35.0,39.0,,,8.0
177,2000,28.0,36.0,36.0,,,8.0
177,2005,32.0,31.0,37.0,,,8.0
177,2010,22.0,37.0,41.0,64.0,32.0,4.0
177,2015,28.0,38.0,34.0,61.0,36.0,3.0
177,2020,39.0,38.0,23.0,47.0,49.0,4.0
179,1995,67.0,19.0,14.0,,,5.0
179,2000,73.0,18.0,12.0,,,3.0
179,2005,75.0,14.0,11.0,,,3.0
179,2010,69.0,20.0,11.0,17.0,82.0,1.0
179,2015,61.0,29.0,10.0,15.0,83.0,2.0
179,2020,57.0,32.0,11.0,25.0,71.0,4.0
181,1995,61.0,19.0,20.0,,,6.0
181,2000,60.0,21.0,19.0,,,6.0
181,2005,64.0,20.0,16.0,,,4.0
181,2010,63.0,22.0,15.0,24.0,75.0,1.0
181,2015,61.0,27.0,12.0,23.0,76.0,1.0
181,2020,52.0,31.0,17.0,32.0,64.0,4.0
183,1995,53.0,28.0,19.0,,,5.0
183,2000,56.0,26.0,18.0,,,4.0
183,2005,60.0,27.0,13.0,,,5.0
183,2010,56.0,27.0,17.0,31.0,67.0,2.0
183,2015,57.0,30.0,13.0,28.0,69.0,3.0
183,2020,49.0,34.0,17.0,33.0,61.0,6.0
187,1995,17.0,46.0,37.0,,,6.0
187,2000,16.0,44.0,40.0,,,6.0
187,2005,16.0,49.0,35.0,,,2.0
187,2010,13.0,51.0,36.0,73.0,24.0,3.0
187,2015,15.0,50.0,35.0,68.0,27.0,5.0
187,2020,20.0,57.0,23.0,68.0,28.0,4.0
189,1995,17.0,46.0,37.0,,,7.0
189,2000,25.0,42.0,33.0,,,5.0
189,2005,22.0,43.0,35.0,,,5.0
189,2010,14.0,51.0,35.0,70.0,27.0,3.0
189,2015,15.0,55.0,30.0,67.0,29.0,4.0
189,2020,22.0,35.0,43.0,63.0,29.0,8.0
191,1995,21.0,49.0,30.0,,,6.0
191,2000,18.0,47.0,35.0,,,8.0
191,2005,14.0,55.0,31.0,,,4.0
191,2010,22.0,48.0,30.0,60.0,37.0,3.0
191,2015,25.0,48.0,27.0,55.0,40.0,5.0
191,2020,20.0,49.0,31.0,67.0,28.0,5.0
193,1995,32.0,20.0,48.0,,,18.0
193,2000,30.0,20.0,50.0,,,21.0
193,2005,31.0,19.0,50.0,,,18.0
193,2010,26.0,21.0,53.0,48.0,36.0,16.0
193,2015,34.0,24.0,42.0,42.0,44.0,14.0
193,2020,53.0,20.0,27.0,27.0,65.0,8.0
195,1995,36.0,21.0,43.0,,,21.0
195,2000,35.0,20.0,45.0,,,24.0
195,2005,34.0,26.0,40.0,,,18.0
195,2010,30.0,22.0,48.0,39.0,41.0,20.0
195,2015,38.0,25.0,37.0,36.0,48.0,16.0
195,2020,58.0,28.0,14.0,25.0,71.0,4.0
197,1995,11.0,52.0,37.0,,,7.0
197,2000,10.0,51.0,39.0,,,10.0
197,2005,9.0,50.0,41.0,,,13.0
197,2010,9.0,51.0,40.0,75.0,20.0,5.0
197,2015,9.0,57.0,34.0,70.0,22.0,8.0
197,2020,29.0,39.0,32.0,55.0,38.0,7.0
199,1995,73.0,14.0,13.0,,,4.0
199,2000,67.0,18.0,15.0,,,4.0
199,2005,84.0,5.0,11.0,,,3.0
199,2010,74.0,12.0,14.0,15.0,82.0,3.0
199,2015,75.0,16.0,9.0,13.0,85.0,2.0
199,2020,64.0,20.0,16.0,17.0,77.0,6.0
201,1995,83.0,10.0,7.0,,,2.0
201,2000,80.0,10.0,10.0,,,3.0
201,2005,75.0,15.0,10.0,,,3.0
201,2010,83.0,7.0,10.0,9.0,89.0,2.0
201,2015,79.0,11.0,10.0,12.0,86.0,2.0
201,2020,65.0,24.0,11.0,17.0,79.0,4.0
203,1995,81.0,11.0,8.0,,,1.0
203,2000,77.0,13.0,10.0,,,3.0
203,2005,76.0,16.0,8.0,,,2.0
203,2010,77.0,10.0,13.0,14.0,85.0,1.0
203,2015,75.0,17.0,8.0,14.0,85.0,1.0
203,2020,37.0,22.0,41.0,44.0,45.0,11.0
205,1995,69.0,16.0,15.0,,,5.0
205,2000,70.0,16.0,14.0,,,3.0
205,2005,72.0,17.0,11.0,,,3.0
205,2010,71.0,15.0,14.0,18.0,80.0,2.0
205,2015,73.0,16.0,11.0,14.0,84.0,2.0
205,2020,52.0,33.0,15.0,30.0,65.0,5.0
207,1995,8.0,44.0,48.0,,,9.0
207,2000,8.0,41.0,51.0,,,11.0
207,2005,5.0,48.0,47.0,,,8.0
207,2010,5.0,44.0,51.0,78.0,14.0,8.0
207,2015,4.0,50.0,46.0,78.0,14.0,8.0
207,2020,25.0,48.0,27.0,57.0,33.0,10.0
209,1995,7.0,44.0,49.0,,,8.0
209,2000,10.0,42.0,48.0,,,9.0
209,2005,10.0,46.0,44.0,,,6.0
209,2010,10.0,44.0,46.0,75.0,19.0,6.0
209,2015,11.0,49.0,40.0,75.0,20.0,5.0
209,2020,22.0,31.0,47.0,62.0,28.0,10.0
211,1995,36.0,47.0,17.0,,,5.0
211,2000,38.0,44.0,18.0,,,4.0
211,2005,32.0,48.0,20.0,,,5.0
211,2010,56.0,22.0,22.0,30.0,68.0,2.0
211,2015,63.0,20.0,17.0,23.0,73.0,4.0
211,2020,46.0,37.0,17.0,36.0,59.0,5.0
213,1995,70.0,16.0,14.0,,,4.0
213,2000,68.0,18.0,14.0,,,3.0
213,2005,71.0,15.0,14.0,,,2.0
213,2010,70.0,16.0,14.0,18.0,80.0,2.0
213,2015,69.0,20.0,11.0,15.0,83.0,2.0
213,2020,31.0,36.0,33.0,54.0,40.0,6.0
215,1995,61.0,21.0,18.0,,,5.0
215,2000,62.0,20.0,18.0,,,5.0
215,2005,61.0,20.0,19.0,,,4.0
215,2010,60.0,22.0,18.0,25.0,72.0,3.0
215,2015,33.0,51.0,16.0,22.0,75.0,3.0
215,2020,64.0,23.0,13.0,17.0,80.0,3.0
217,1995,81.0,11.0,8.0,,,2.0
217,2000,86.0,7.0,7.0,,,3.0
217,2005,84.0,9.0,7.0,,,2.0
217,2010,69.0,14.0,17.0,19.0,76.0,5.0
217,2015,65.0,18.0,17.0,19.0,75.0,6.0
217,2020,47.0,34.0,19.0,36.0,59.0,5.0
219,1995,63.0,23.0,14.0,,,4.0
219,2000,62.0,22.0,16.0,,,5.0
219,2005,61.0,24.0,15.0,,,4.0
219,2010,56.0,26.0,18.0,25.0,71.0,4.0
219,2015,56.0,27.0,17.0,24.0,71.0,5.0
219,2020,56.0,25.0,19.0,27.0,69.0,4.0
221,1995,50.0,30.0,20.0,,,5.0
221,2000,51.0,31.0,18.0,,,3.0
221,2005,48.0,31.0,21.0,,,3.0
221,2010,50.0,30.0,20.0,33.0,65.0,2.0
221,2015,51.0,37.0,12.0,27.0,72.0,1.0
221,2020,44.0,33.0,23.0,41.0,55.0,4.0
223,1995,48.0,32.0,20.0,,,3.0
223,2000,44.0,35.0,21.0,,,4.0
223,2005,45.0,33.0,22.0,,,3.0
223,2010,45.0,36.0,19.0,42.0,57.0,1.0
223,2015,43.0,35.0,22.0,44.0,54.0,2.0
223,2020,40.0,29.0,31.0,44.0,50.0,6.0
225,1995,78.0,14.0,8.0,,,3.0
225,2000,83.0,10.0,7.0,,,2.0
225,2005,79.0,14.0,7.0,,,1.0
225,2010,83.0,11.0,6.0,9.0,90.0,1.0
225,2015,78.0,15.0,7.0,12.0,87.0,1.0
225,2020,61.0,24.0,15.0,21.0,75.0,4.0
229,1995,18.0,59.0,23.0,,,3.0
229,2000,16.0,60.0,24.0,,,3.0
229,2005,17.0,58.0,25.0,,,4.0
229,2010,14.0,62.0,24.0,66.0,32.0,2.0
229,2015,14.0,65.0,21.0,61.0,36.0,3.0
229,2020,57.0,18.0,25.0,23.0,69.0,8.0
231,1995,82.0,12.0,6.0,,,3.0
231,2000,79.0,15.0,6.0,,,2.0
231,2005,78.0,13.0,9.0,,,2.0
231,2010,81.0,11.0,8.0,10.0,89.0,1.0
231,2015,81.0,10.0,9.0,7.0,90.0,3.0
231,2020,60.0,27.0,13.0,23.0,73.0,4.0
233,1995,62.0,22.0,16.0,,,6.0
233,2000,59.0,26.0,15.0,,,4.0
233,2005,66.0,21.0,13.0,,,4.0
233,2010,73.0,11.0,16.0,19.0,79.0,2.0
233,2015,74.0,14.0,12.0,16.0,80.0,4.0
233,2020,56.0,23.0,21.0,27.0,69.0,4.0
235,1995,63.0,17.0,20.0,,,7.0
235,2000,65.0,18.0,17.0,,,6.0
235,2005,64.0,20.0,16.0,,,4.0
235,2010,65.0,16.0,19.0,20.0,76.0,4.0
235,2015,64.0,22.0,14.0,18.0,77.0,5.0
235,2020,57.0,25.0,18.0,28.0,69.0,3.0
237,1995,44.0,37.0,19.0,,,6.0
237,2000,42.0,38.0,20.0,,,5.0
237,2005,43.0,39.0,18.0,,,3.0
237,2010,45.0,36.0,19.0,36.0,61.0,3.0
237,2015,45.0,40.0,15.0,35.0,63.0,2.0
237,2020,31.0,44.0,25.0,55.0,41.0,4.0
239,1995,49.0,31.0,20.0,,,5.0
239,2000,55.0,28.0,17.0,,,4.0
239,2005,55.0,27.0,18.0,,,3.0
239,2010,58.0,26.0,16.0,29.0,67.0,4.0
239,2015,55.0,29.0,16.0,32.0,66.0,2.0
239,2020,50.0,29.0,21.0,35.0,61.0,4.0
241,1995,65.0,16.0,19.0,,,5.0
241,2000,64.0,18.0,18.0,,,6.0
241,2005,65.0,16.0,19.0,,,4.0
241,2010,66.0,15.0,19.0,22.0,76.0,2.0
241,2015,63.0,21.0,16.0,21.0,76.0,3.0
241,2020,62.0,19.0,19.0,17.0,75.0,8.0
243,1995,93.0,3.0,4.0,,,1.0
243,2000,92.0,4.0,4.0,,,2.0
243,2005,93.0,3.0,4.0,,,1.0
243,2010,90.0,3.0,7.0,6.0,93.0,1.0
243,2015,93.0,4.0,3.0,4.0,95.0,1.0
243,2020,66.0,24.0,10.0,17.0,81.0,2.0
245,1995,64.0,24.0,12.0,,,2.0
245,2000,64.0,25.0,11.0,,,2.0
245,2005,55.0,30.0,15.0,,,1.0
245,2010,67.0,21.0,12.0,23.0,76.0,1.0
245,2015,64.0,24.0,12.0,25.0,72.0,3.0
245,2020,47.0,38.0,15.0,37.0,59.0,4.0
247,1995,69.0,14.0,17.0,,,7.0
247,2000,68.0,16.0,16.0,,,4.0
247,2005,63.0,17.0,20.0,,,4.0
247,2010,64.0,15.0,21.0,25.0,73.0,2.0
247,2015,64.0,17.0,19.0,23.0,73.0,4.0
247,2020,52.0,27.0,21.0,29.0,64.0,7.0
249,1995,58.0,21.0,21.0,,,9.0
249,2000,56.0,21.0,23.0,,,7.0
249,2005,61.0,20.0,19.0,,,4.0
249,2010,60.0,19.0,21.0,26.0,72.0,2.0
249,2015,63.0,22.0,15.0,22.0,75.0,3.0
249,2020,51.0,28.0,21.0,32.0,63.0,5.0
251,1995,63.0,14.0,23.0,,,6.0
251,2000,63.0,17.0,20.0,,,4.0
251,2005,63.0,19.0,18.0,,,5.0
251,2010,67.0,14.0,19.0,21.0,77.0,2.0
251,2015,66.0,19.0,15.0,20.0,78.0,2.0
251,2020,58.0,23.0,19.0,24.0,71.0,5.0
253,1995,49.0,32.0,19.0,,,3.0
253,2000,51.0,33.0,16.0,,,3.0
253,2005,49.0,34.0,17.0,,,1.0
253,2010,44.0,38.0,18.0,39.0,60.0,1.0
253,2015,51.0,35.0,14.0,37.0,61.0,2.0
253,2020,40.0,41.0,19.0,44.0,51.0,5.0
255,1995,40.0,37.0,23.0,,,6.0
255,2000,39.0,38.0,23.0,,,5.0
255,2005,38.0,42.0,20.0,,,4.0
255,2010,38.0,40.0,22.0,42.0,56.0,2.0
255,2015,40.0,42.0,18.0,42.0,56.0,2.0
255,2020,39.0,38.0,23.0,47.0,49.0,4.0
257,1995,73.0,15.0,12.0,,,2.0
257,2000,69.0,20.0,11.0,,,3.0
257,2005,78.0,11.0,11.0,,,4.0
257,2010,77.0,15.0,8.0,12.0,87.0,1.0
257,2015,75.0,17.0,8.0,13.0,85.0,2.0
257,2020,61.0,25.0,14.0,21.0,75.0,4.0
259,1995,63.0,19.0,18.0,,,6.0
259,2000,61.0,20.0,19.0,,,7.0
259,2005,58.0,23.0,19.0,,,5.0
259,2010,57.0,23.0,20.0,28.0,70.0,2.0
259,2015,59.0,26.0,15.0,25.0,74.0,1.0
259,2020,44.0,37.0,19.0,40.0,55.0,5.0
261,1995,69.0,15.0,16.0,,,7.0
261,2000,66.0,17.0,17.0,,,5.0
261,2005,72.0,16.0,12.0,,,4.0
261,2010,71.0,15.0,14.0,18.0,80.0,2.0
261,2015,70.0,17.0,13.0,16.0,82.0,2.0
261,2020,56.0,25.0,19.0,27.0,69.0,4.0
263,1995,30.0,46.0,24.0,,,8.0
263,2000,32.0,44.0,24.0,,,8.0
263,2005,28.0,48.0,24.0,,,5.0
263,2010,33.0,44.0,23.0,47.0,46.0,7.0
263,2015,31.0,51.0,18.0,48.0,47.0,5.0
263,2020,40.0,35.0,25.0,43.0,51.0,6.0
265,1995,56.0,28.0,16.0,,,2.0
265,2000,57.0,29.0,14.0,,,3.0
265,2005,66.0,21.0,13.0,,,1.0
265,2010,65.0,24.0,11.0,24.0,74.0,2.0
265,2015,67.0,22.0,11.0,21.0,75.0,4.0
265,2020,47.0,36.0,17.0,37.0,59.0,4.0
267,1995,62.0,24.0,14.0,,,4.0
267,2000,64.0,21.0,15.0,,,4.0
267,2005,59.0,25.0,16.0,,,3.0
267,2010,60.0,23.0,17.0,24.0,74.0,2.0
267,2015,65.0,21.0,14.0,22.0,76.0,2.0
267,2020,47.0,34.0,19.0,37.0,59.0,4.0
269,1995,41.0,46.0,13.0,,,5.0
269,2000,41.0,44.0,15.0,,,5.0
269,2005,43.0,45.0,12.0,,,4.0
269,2010,37.0,42.0,21.0,32.0,64.0,4.0
269,2015,38.0,46.0,16.0,32.0,65.0,3.0
269,2020,23.0,54.0,23.0,61.0,32.0,7.0
271,1995,76.0,14.0,10.0,,,5.0
271,2000,72.0,18.0,10.0,,,4.0
271,2005,70.0,18.0,12.0,,,4.0
271,2010,74.0,13.0,13.0,15.0,83.0,2.0
271,2015,75.0,14.0,11.0,14.0,84.0,2.0
271,2020,52.0,33.0,15.0,31.0,65.0,4.0
273,1995,72.0,18.0,10.0,,,3.0
273,2000,77.0,14.0,9.0,,,2.0
273,2005,78.0,12.0,10.0,,,3.0
273,2010,84.0,8.0,8.0,12.0,87.0,1.0
273,2015,56.0,28.0,16.0,26.0,70.0,4.0
273,2020,57.0,23.0,20.0,22.0,70.0,8.0
275,1995,73.0,17.0,10.0,,,2.0
275,2000,71.0,19.0,10.0,,,3.0
275,2005,71.0,20.0,9.0,,,1.0
275,2010,73.0,15.0,12.0,17.0,81.0,2.0
275,2015,71.0,19.0,10.0,21.0,78.0,1.0
275,2020,56.0,29.0,15.0,29.0,69.0,2.0
277,1995,6.0,70.0,24.0,,,6.0
277,2000,8.0,66.0,26.0,,,4.0
277,2005,9.0,65.0,26.0,,,4.0
277,2010,8.0,67.0,25.0,77.0,20.0,3.0
277,2015,10.0,69.0,21.0,69.0,28.0,3.0
277,2020,29.0,50.0,21.0,57.0,38.0,5.0
279,1995,18.0,52.0,30.0,,,5.0
279,2000,24.0,48.0,28.0,,,4.0
279,2005,22.0,52.0,26.0,,,4.0
279,2010,23.0,49.0,28.0,58.0,37.0,5.0
279,2015,24.0,50.0,26.0,57.0,40.0,3.0
279,2020,25.0,40.0,35.0,63.0,33.0,4.0
281,1995,1.0,59.0,40.0,,,8.0
281,2000,7.0,56.0,37.0,,,6.0
281,2005,3.0,60.0,37.0,,,4.0
281,2010,6.0,53.0,41.0,81.0,15.0,4.0
281,2015,8.0,55.0,37.0,76.0,17.0,7.0
281,2020,28.0,28.0,44.0,55.0,35.0,10.0
283,1995,24.0,39.0,37.0,,,13.0
283,2000,31.0,34.0,35.0,,,14.0
283,2005,29.0,35.0,36.0,,,8.0
283,2010,28.0,35.0,37.0,58.0,37.0,5.0
283,2015,24.0,40.0,36.0,61.0,33.0,6.0
283,2020,41.0,24.0,35.0,39.0,51.0,10.0
285,1995,2.0,57.0,41.0,,,7.0
285,2000,4.0,55.0,41.0,,,9.0
285,2005,4.0,58.0,38.0,,,6.0
285,2010,2.0,52.0,46.0,82.0,11.0,7.0
285,2015,5.0,54.0,41.0,79.0,15.0,6.0
285,2020,17.0,39.0,44.0,64.0,23.0,13.0
287,1995,76.0,14.0,10.0,,,1.0
287,2000,70.0,20.0,10.0,,,1.0
287,2005,71.0,19.0,10.0,,,1.0
287,2010,71.0,16.0,13.0,21.0,78.0,1.0
287,2015,70.0,22.0,8.0,18.0,80.0,2.0
287,2020,60.0,27.0,13.0,23.0,73.0,4.0
289,1995,64.0,24.0,12.0,,,2.0
289,2000,63.0,23.0,11.0,,,2.0
289,2005,66.0,24.0,10.0,,,1.0
289,2010,55.0,29.0,16.0,32.0,67.0,1.0
289,2015,53.0,32.0,15.0,30.0,68.0,2.0
289,2020,47.0,32.0,21.0,37.0,59.0,4.0
291,1995,30.0,41.0,29.0,,,6.0
291,2000,28.0,43.0,30.0,,,6.0
291,2005,26.0,47.0,27.0,,,3.0
291,2010,48.0,30.0,22.0,42.0,57.0,1.0
291,2015,47.0,36.0,17.0,38.0,59.0,3.0
291,2020,45.0,24.0,31.0,40.0,55.0,5.0
295,1995,30.0,42.0,28.0,,,5.0
295,2000,32.0,43.0,25.0,,,4.0
295,2005,30.0,42.0,28.0,,,4.0
295,2010,37.0,37.0,26.0,51.0,47.0,2.0
295,2015,41.0,35.0,24.0,47.0,50.0,3.0
295,2020,33.0,34.0,33.0,52.0,42.0,6.0
297,1995,73.0,17.0,10.0,,,1.0
297,2000,78.0,12.0,10.0,,,2.0
297,2005,86.0,7.0,7.0,,,1.0
297,2010,73.0,13.0,14.0,20.0,79.0,1.0
297,2015,82.0,11.0,7.0,10.0,87.0,3.0
297,2020,60.0,23.0,17.0,23.0,73.0,4.0
299,1995,6.0,9.0,85.0,,,36.0
299,2000,10.0,10.0,80.0,,,32.0
299,2005,10.0,10.0,80.0,,,29.0
299,2010,8.0,14.0,78.0,63.0,12.0,25.0
299,2015,10.0,14.0,76.0,60.0,13.0,27.0
299,2020,41.0,28.0,31.0,38.0,52.0,10.0
301,1995,21.0,41.0,38.0,,,4.0
301,2000,23.0,41.0,36.0,,,5.0
301,2005,22.0,44.0,34.0,,,7.0
301,2010,33.0,44.0,23.0,50.0,49.0,1.0
301,2015,37.0,39.0,24.0,49.0,49.0,2.0
301,2020,65.0,22.0,13.0,17.0,79.0,4.0
303,1995,33.0,25.0,42.0,,,9.0
303,2000,28.0,28.0,44.0,,,7.0
