point_id,year,CaCo3 [%],pH_H2O [pH],pH_KCl [pH]
231,2000,,5.8,5.0
231,2005,,6.2,5.1
231,2010,,5.9,4.6
231,2015,,4.8,3.8
231,2020,"<0,01",5.2,4.2
233,1995,,5.3,4.3
233,2000,,7.1,6.1
233,2005,,6.8,5.6
233,2010,,5.3,4.0
233,2015,,5.2,4.4
233,2020,0.02,5.5,4.6
235,1995,,5.6,4.8
235,2000,,6.0,5.0
235,2005,,6.9,6.2
235,2010,,6.5,5.7
235,2015,,5.4,4.6
235,2020,0.19,5.2,4.6
237,1995,,6.0,5.2
237,2000,,6.4,5.5
237,2005,,5.3,4.2
237,2010,,5.7,4.7
237,2015,,4.7,3.9
237,2020,0.02,5.7,4.8
239,1995,,7.0,6.0
239,2000,,6.8,5.8
239,2005,,6.7,5.6
239,2010,,6.4,5.2
239,2015,,5.9,5.1
239,2020,0.24,6.4,5.5
241,1995,,5.5,4.4
241,2000,,6.0,4.8
241,2005,,5.7,4.6
241,2010,,5.6,4.7
241,2015,,6.0,5.2
241,2020,0.02,6.5,6.0
243,1995,,5.8,4.7
243,2000,,5.4,4.3
243,2005,,5.2,3.9
243,2010,,5.1,4.1
243,2015,,4.9,4.2
243,2020,0.03,4.8,4.1
245,1995,,6.8,6.0
245,2000,,7.0,5.7
245,2005,,6.6,5.7
245,2010,,5.0,3.7
245,2015,,4.3,3.8
245,2020,0.02,4.7,3.9
247,1995,,6.0,4.9
247,2000,,7.5,6.3
247,2005,,7.0,6.1
247,2010,0.21,7.0,6.3
247,2015,,4.8,4.0
247,2020,0.09,7.5,7.1
249,1995,,6.1,5.0
249,2000,,6.7,5.3
249,2005,,6.4,4.8
249,2010,,6.2,4.8
249,2015,,5.5,4.6
249,2020,0.03,6.7,6.2
251,1995,,6.1,4.9
251,2000,,6.4,5.2
251,2005,,7.0,6.3
251,2010,,6.6,5.6
251,2015,,5.8,5.0
251,2020,0.02,6.0,5.2
253,1995,,6.3,5.2
253,2000,,6.8,5.4
253,2005,,6.8,5.6
253,2010,0.13,7.2,6.7
253,2015,,5.7,4.8
253,2020,0.04,7.0,6.3
255,1995,,6.3,5.5
255,2000,,6.6,5.3
255,2005,,6.0,5.1
255,2010,,6.5,5.4
255,2015,,5.9,5.2
255,2020,0.03,6.7,6.0
257,1995,,5.5,4.5
257,2000,,5.7,4.3
257,2005,,5.9,4.7
257,2010,,5.9,4.5
257,2015,,5.8,5.4
257,2020,0.21,6.4,5.9
259,1995,,6.1,4.8
259,2000,,6.4,5.2
259,2005,,6.0,5.0
259,2010,,6.4,5.4
259,2015,,6.1,5.2
259,2020,0.02,5.6,4.5
261,1995,,4.9,3.7
261,2000,,6.3,4.9
261,2005,,5.8,4.8
261,2010,,6.2,4.8
261,2015,,5.5,4.6
261,2020,0.04,5.9,4.8
263,1995,,5.9,4.7
263,2000,,5.6,4.4
263,2005,,5.4,4.0
263,2010,,5.3,5.1
263,2015,,5.2,4.2
263,2020,0.16,5.4,4.5
265,1995,,5.9,4.5
265,2000,,5.6,4.3
265,2005,,5.2,4.2
265,2010,,5.4,4.0
265,2015,,4.1,3.2
265,2020,"<0,01",6.9,7.2
267,1995,,6.5,5.4
267,2000,,6.7,5.2
267,2005,,6.2,5.0
267,2010,,6.1,6.3
267,2015,,5.6,4.5
267,2020,0.17,6.2,5.4
269,1995,,6.9,6.1
269,2000,,7.3,6.3
269,2005,,6.9,6.2
269,2010,0.04,7.1,6.4
269,2015,0.02,6.8,6.0
269,2020,0.02,6.7,6.2
271,1995,,5.7,4.3
271,2000,,5.5,4.2
271,2005,,5.3,4.1
271,2010,,6.0,4.6
271,2015,,4.1,3.3
271,2020,0.02,6.2,5.3
273,1995,,5.6,4.3
273,2000,,5.6,4.2
273,2005,,5.2,4.0
273,2010,,5.6,4.1
273,2015,,4.8,3.8
273,2020,0.02,5.9,4.8
275,1995,,6.0,4.7
275,2000,,5.8,4.4
275,2005,,5.7,4.4
275,2010,,5.4,4.1
275,2015,,4.9,3.7
275,2020,0.18,4.9,4.2
277,1995,,7.1,6.5
277,2000,1.46,7.5,6.8
277,2005,2.31,7.0,6.4
277,2010,2.24,8.3,7.9
277,2015,2.23,7.7,7.2
277,2020,0.25,7.7,7.5
279,1995,,6.7,6.0
279,2000,,6.5,6.1
279,2005,,6.4,5.8
279,2010,0.04,7.6,7.0
279,2015,,5.9,4.9
279,2020,0.02,6.4,5.5
281,1995,,6.0,5.1
281,2000,,6.2,5.0
281,2005,,5.8,4.8
281,2010,,6.3,5.2
281,2015,,6.5,5.9
281,2020,0.02,6.6,5.8
283,1995,,7.0,5.8
283,2000,,7.4,6.3
283,2005,,7.0,6.0
283,2010,0.46,7.3,7.0
283,2015,0.08,7.0,6.5
283,2020,0.9,7.9,7.5
285,1995,,5.9,4.7
285,2000,,6.4,5.3
285,2005,,6.0,5.0
285,2010,,5.9,4.8
285,2015,0.0,7.0,6.5
285,2020,0.02,5.7,4.7
287,1995,,6.7,6.0
287,2000,,6.6,5.7
287,2005,,6.3,5.7
287,2010,,5.7,4.5
287,2015,,5.2,4.2
287,2020,"<0,01",5.2,4.4
289,1995,,6.2,4.8
289,2000,,5.9,4.5
289,2005,,6.1,4.8
289,2010,0.08,6.9,5.9
289,2015,,5.9,4.8
289,2020,0.02,6.5,5.7
291,1995,,6.5,5.6
291,2000,,7.0,6.0
291,2005,,6.6,5.7
291,2010,,6.5,5.8
291,2015,,6.4,5.5
291,2020,0.04,7.1,7.1
295,1995,,4.8,4.0
295,2000,,5.6,4.3
295,2005,,5.2,4.2
295,2010,,5.8,4.9
295,2015,,4.8,4.2
295,2020,0.14,5.8,5.1
297,1995,,6.9,6.4
297,2000,,7.1,6.3
297,2005,,6.9,6.2
297,2010,0.29,7.8,7.3
297,2015,0.62,7.4,7.2
297,2020,0.95,8.3,8.1
299,1995,57.94,7.7,6.8
299,2000,60.97,8.0,6.5
299,2005,60.09,7.5,6.7
299,2010,59.87,8.3,7.7
299,2015,61.86,7.8,7.3
299,2020,57.4,8.0,7.6
301,1995,,5.9,4.8
301,2000,,6.3,5.1
301,2005,,6.5,5.5
301,2010,,6.2,5.4
301,2015,,5.1,4.5
301,2020,0.07,5.7,4.8
303,1995,,5.0,3.8
303,2000,,5.5,4.2
303,2005,,6.8,6.1
303,2010,,5.2,4.3
303,2015,,5.2,4.1
303,2020,0.16,7.6,7.0
305,1995,,6.4,5.2
305,2000,,6.2,5.1
305,2005,,6.4,5.4
305,2010,,5.3,4.2
305,2015,,5.4,4.3
305,2020,0.05,5.0,4.2
307,1995,,7.0,6.0
307,2000,,7.3,6.4
307,2005,,7.1,6.1
307,2010,0.02,6.9,5.9
307,2015,,6.2,5.2
307,2020,0.06,6.6,5.9
311,1995,,6.5,5.4
311,2000,,6.2,5.1
311,2005,,6.9,5.8
311,2010,0.08,7.0,6.0
311,2015,,6.6,5.9
311,2020,0.04,6.9,6.5
313,1995,,6.3,5.2
313,2000,,6.6,5.5
313,2005,,5.8,4.9
313,2010,,6.5,5.9
313,2015,,5.9,5.1
313,2020,0.03,6.2,5.3
315,1995,,7.2,6.4
315,2000,,7.4,6.5
315,2005,,7.1,6.2
315,2010,0.33,7.4,6.6
315,2015,,6.6,6.2
315,2020,0.04,7.0,6.4
317,1995,,6.2,5.1
317,2000,,5.8,4.6
317,2005,,5.4,4.4
317,2010,,6.2,5.0
317,2015,,5.3,4.1
317,2020,0.49,6.5,5.5
319,1995,0.13,7.2,6.3
319,2000,0.13,7.4,6.5
319,2005,0.08,7.3,6.3
319,2010,0.33,7.8,7.0
319,2015,0.17,6.8,6.4
319,2020,0.06,7.3,6.9
321,1995,,6.6,5.7
321,2000,,6.8,5.8
321,2005,,6.1,5.1
321,2010,,6.3,5.4
321,2015,,5.9,5.1
321,2020,0.03,6.9,6.5
323,1995,,7.0,5.8
323,2000,,7.2,6.1
323,2005,,7.4,6.2
323,2010,,5.6,4.2
323,2015,,4.5,3.5
323,2020,0.03,6.6,5.8
325,1995,,6.1,4.7
325,2000,,6.5,5.1
325,2005,,5.7,4.8
325,2010,,5.9,4.4
325,2015,,5.1,4.3
325,2020,0.05,6.1,5.0
327,1995,,6.6,5.6
327,2000,,6.2,5.2
327,2005,,6.3,5.1
327,2010,,6.3,5.0
327,2015,0.12,7.1,6.8
327,2020,0.03,5.4,4.4
329,1995,,6.4,5.3
329,2000,,5.9,5.2
329,2005,,5.6,4.7
329,2010,,5.5,3.9
329,2015,,5.6,4.7
329,2020,0.09,6.0,5.1
331,1995,,6.5,5.5
331,2000,,6.3,5.3
331,2005,,6.0,4.9
331,2010,,6.7,5.6
331,2015,,6.2,5.4
331,2020,1.45,6.3,5.5
333,1995,,6.8,6.2
333,2000,,7.1,6.0
333,2005,,6.5,5.6
333,2010,,6.7,5.6
333,2015,,5.8,5.0
333,2020,0.06,7.5,7.1
335,1995,13.46,7.4,6.6
335,2000,11.04,7.2,6.4
335,2005,10.08,7.0,6.3
335,2010,3.35,7.7,6.8
335,2015,3.39,7.1,6.6
335,2020,0.83,7.6,7.2
337,1995,,6.2,5.0
337,2000,,6.4,5.3
337,2005,1.59,7.5,6.7
337,2010,,7.2,6.2
337,2015,,6.5,5.7
337,2020,0.02,6.9,6.2
339,1995,,7.5,7.1
339,2000,,7.7,7.0
339,2005,,7.6,6.7
339,2010,0.04,7.2,6.5
339,2015,0.0,6.9,6.3
339,2020,0.03,7.2,6.8
341,1995,,6.2,4.8
341,2000,,6.4,4.9
341,2005,0.28,7.6,6.8
341,2010,,6.6,5.2
341,2015,,6.0,5.3
341,2020,0.03,7.2,6.5
343,1995,0.45,7.4,6.7
343,2000,0.38,7.8,7.0
343,2005,1.23,7.4,6.6
343,2010,6.57,8.0,7.3
343,2015,6.47,7.3,6.9
343,2020,0.77,7.6,7.1
345,1995,,7.1,6.5
345,2000,,7.3,6.8
345,2005,0.24,7.2,6.6
345,2010,0.16,7.7,7.1
345,2015,0.25,7.3,7.1
345,2020,0.04,7.5,6.9
347,1995,,6.2,5.1
347,2000,,6.6,5.4
347,2005,,6.6,5.6
347,2010,,6.8,5.9
347,2015,,6.6,5.8
347,2020,0.1,6.8,6.3
349,1995,,6.4,5.4
349,2000,,6.5,5.2
349,2005,,6.2,5.4
349,2010,,6.5,5.4
349,2015,,5.4,4.3
349,2020,0.05,6.3,5.5
351,1995,,5.9,4.7
351,2000,,7.7,6.8
351,2005,,6.2,5.2
351,2010,,6.2,5.1
351,2015,,6.0,5.2
351,2020,0.05,7.3,6.9
353,1995,2.18,7.4,6.4
353,2000,2.06,7.6,6.2
353,2005,2.1,7.3,6.4
353,2010,1.14,7.9,7.4
353,2015,1.03,7.5,6.7
353,2020,0.43,7.7,7.3
355,1995,,7.0,6.1
355,2000,,7.0,6.2
355,2005,,7.5,6.6
355,2010,0.17,7.7,6.9
355,2015,0.21,7.4,6.9
355,2020,0.03,7.1,6.6
357,1995,,6.4,5.4
357,2000,,6.8,5.3
357,2005,,6.9,5.2
357,2010,,7.2,6.3
357,2015,,6.2,5.4
357,2020,0.02,6.5,5.8
359,1995,,6.6,5.5
359,2000,,6.7,5.6
359,2005,,6.9,5.3
359,2010,,6.2,5.2
359,2015,,5.9,5.1
359,2020,0.02,7.1,6.6
361,1995,,5.0,3.7
361,2000,,5.1,3.7
361,2005,,4.8,3.5
361,2010,,5.5,4.1
361,2015,,4.5,3.4
361,2020,"<0,01",5.5,4.5
363,1995,,4.8,3.9
363,2000,,5.3,4.1
363,2005,,5.0,3.8
363,2010,,5.3,4.2
363,2015,,5.0,4.1
363,2020,0.09,7.5,6.9
365,1995,,6.0,4.8
365,2000,,6.6,5.2
365,2005,,5.8,4.6
365,2010,,6.6,5.5
365,2015,,6.2,5.2
365,2020,0.05,6.7,5.8
367,1995,,5.0,3.6
367,2000,,6.4,5.3
367,2005,,5.6,4.5
367,2010,,6.2,5.0
367,2015,,5.2,4.3
367,2020,0.02,5.0,4.2
369,1995,,5.4,4.2
369,2000,,5.8,4.5
369,2005,,6.2,5.0
369,2010,,7.1,6.3
369,2015,,6.6,5.7
369,2020,0.2,7.7,7.6
371,1995,,6.9,6.0
371,2000,,6.1,5.8
371,2005,,6.5,5.4
371,2010,,6.9,5.7
371,2015,,6.6,5.9
371,2020,0.5,6.4,5.6
373,1995,,5.8,4.6
373,2000,,5.5,4.4
373,2005,,5.7,4.6
373,2010,,5.7,4.4
373,2015,,5.1,4.3
373,2020,0.02,5.5,4.6
375,1995,,6.9,5.8
375,2000,,7.0,6.0
375,2005,,6.6,5.5
375,2010,,7.1,6.1
375,2015,,6.3,5.5
375,2020,0.22,8.0,7.5
377,1995,,5.3,4.3
377,2000,,5.7,4.3
377,2005,,5.5,4.3
377,2010,,6.6,5.4
377,2015,,6.1,5.3
377,2020,0.04,6.6,5.4
379,1995,,5.7,4.6
379,2000,,5.4,4.3
379,2005,,6.1,5.0
379,2010,,6.3,4.9
379,2015,,5.6,4.6
379,2020,0.02,4.5,3.9
381,1995,0.08,6.9,6.2
381,2000,0.13,7.2,6.0
381,2005,0.16,7.2,6.3
381,2010,0.25,7.7,7.0
381,2015,0.21,6.9,6.4
381,2020,0.03,7.1,6.7
383,1995,,6.7,5.8
383,2000,,6.3,5.2
383,2005,,6.5,5.0
383,2010,,6.0,4.9
383,2015,,6.0,5.3
383,2020,0.03,5.9,5.0
385,1995,,5.7,4.4
385,2000,,5.8,4.4
385,2005,,5.6,4.0
385,2010,,5.2,4.1
385,2015,,4.7,4.1
385,2020,0.09,5.1,4.1
387,1995,,6.7,5.7
387,2000,,7.0,5.8
387,2005,,6.9,5.9
387,2010,,6.0,4.8
387,2015,,5.6,4.8
387,2020,0.13,6.6,5.8
389,1995,,6.7,5.6
389,2000,,7.0,5.9
389,2005,,5.9,4.7
389,2010,0.04,6.8,5.3
389,2015,,6.3,5.9
389,2020,0.03,7.4,6.8
393,1995,,5.7,5.1
393,2000,,6.4,5.4
393,2005,,6.4,5.5
393,2010,,7.7,6.7
393,2015,0.25,7.3,6.9
393,2020,0.02,7.1,6.3
395,1995,0.21,7.3,6.8
395,2000,0.14,7.2,6.8
395,2005,0.63,7.5,6.5
395,2010,,7.6,6.8
395,2015,0.08,6.9,6.4
395,2020,0.03,7.8,7.3
397,1995,,5.7,4.6
397,2000,,6.0,4.8
397,2005,,6.8,5.9
397,2010,0.08,7.2,6.4
397,2015,,6.6,6.1
397,2020,0.05,6.7,6.4
399,1995,,6.1,4.9
399,2000,,7.2,6.0
399,2005,,6.8,5.7
399,2010,,6.6,5.6
399,2015,,6.5,6.0
399,2020,0.04,7.4,7.2
401,1995,0.29,7.7,6.9
401,2000,0.4,8.2,7.2
401,2005,0.28,7.6,6.8
401,2010,,6.6,6.1
401,2015,,6.4,5.7
401,2020,0.68,6.9,5.7
403,1995,1.3,7.6,6.8
403,2000,0.98,7.4,6.8
403,2005,,7.0,6.4
403,2010,0.12,7.5,6.8
403,2015,,6.7,6.0
403,2020,0.03,7.5,6.8
405,1995,,7.0,6.3
405,2000,,7.2,6.4
405,2005,,6.7,6.1
405,2010,0.04,6.7,5.0
405,2015,,4.4,3.6
405,2020,0.07,8.0,7.4
407,1995,,6.7,5.6
407,2000,,6.9,5.9
407,2005,,7.0,6.0
407,2010,0.04,7.1,5.9
407,2015,,6.0,5.2
407,2020,0.04,7.0,6.4
409,1995,,5.3,4.1
409,2000,,6.2,5.0
409,2005,,5.9,5.1
409,2010,,6.6,5.3
409,2015,,5.8,5.0
409,2020,0.06,7.3,7.0
411,1995,1.29,7.3,6.6
411,2000,1.5,7.5,6.7
411,2005,1.25,7.1,6.3
411,2010,3.1,7.8,7.2
411,2015,1.41,7.1,6.8
411,2020,0.2,6.1,5.0
413,1995,,6.7,5.9
413,2000,,6.9,5.9
413,2005,,6.3,5.5
413,2010,,5.8,4.3
413,2015,,4.6,3.4
413,2020,0.06,6.4,4.9
415,1995,0.54,7.0,6.3
415,2000,0.55,7.6,7.0
415,2005,,7.2,6.7
415,2010,,5.6,4.2
415,2015,,4.7,3.5
415,2020,0.14,5.7,4.7
417,1995,,5.0,3.8
417,2000,,5.4,4.2
417,2005,,4.9,3.8
417,2010,,5.6,4.5
417,2015,,4.9,3.7
417,2020,0.11,7.2,7.0
419,1995,,6.2,5.0
419,2000,,6.1,4.9
419,2005,,6.0,4.7
419,2010,,5.2,4.0
419,2015,,4.3,3.4
419,2020,0.03,5.2,4.3
421,1995,,7.2,6.4
421,2000,,7.2,6.1
421,2005,,6.7,5.6
421,2010,,6.5,5.5
421,2015,,5.8,4.8
421,2020,0.38,6.4,5.7
423,1995,,6.2,5.1
423,2000,,6.3,4.9
423,2005,,5.8,4.6
423,2010,,5.7,4.3
423,2015,,4.8,3.6
423,2020,0.03,5.5,4.9
425,1995,0.17,6.8,6.1
425,2000,0.11,7.0,6.3
425,2005,,7.0,6.0
425,2010,,5.8,4.6
425,2015,,5.2,4.4
425,2020,0.08,7.5,7.0
427,1995,,5.9,4.6
427,2000,,6.6,5.3
427,2005,,6.3,5.3
427,2010,,6.1,4.8
427,2015,,5.0,3.8
427,2020,0.04,6.2,5.0
429,1995,,6.5,5.5
429,2000,,6.7,5.5
429,2005,,6.7,5.7
429,2010,,6.5,5.5
429,2015,,6.4,5.6
429,2020,0.06,7.0,6.5
431,1995,,6.9,5.9
431,2000,,7.3,6.1
431,2005,,6.8,5.8
431,2010,0.06,7.0,5.8
431,2015,,5.9,4.9
431,2020,0.07,6.0,4.9
433,1995,,6.5,5.5
433,2000,,6.7,5.4
433,2005,0.33,7.6,6.7
433,2010,1.19,7.9,7.0
433,2015,1.2,7.5,6.8
433,2020,0.34,7.9,7.5
435,1995,,6.5,5.3
435,2000,,7.0,5.5
435,2005,0.12,7.0,6.0
435,2010,0.74,7.9,6.9
435,2015,0.08,7.2,6.7
435,2020,0.04,6.6,5.3
437,1995,,6.3,5.0
437,2000,,6.6,5.2
437,2005,,5.7,4.6
437,2010,,6.3,4.9
437,2015,,5.7,4.9
437,2020,0.02,5.5,4.6
439,1995,,5.7,4.6
439,2000,,5.9,4.5
439,2005,,5.4,4.2
439,2010,,5.8,4.3
439,2015,,5.3,4.5
439,2020,0.03,6.6,5.7
441,1995,0.08,7.1,6.4
441,2000,0.04,7.8,6.4
441,2005,,7.0,5.9
441,2010,0.08,7.4,6.1
441,2015,,6.7,5.9
441,2020,0.05,7.4,6.8
443,1995,,6.4,5.3
443,2000,,6.5,5.0
443,2005,,5.9,4.7
443,2010,,6.5,6.1
443,2015,,5.9,5.1
443,2020,0.04,5.9,4.9
445,1995,,6.4,5.4
445,2000,,7.0,5.9
445,2005,,6.4,5.3
445,2010,0.04,7.0,5.1
445,2015,,5.9,5.1
445,2020,0.04,7.6,7.0
447,1995,,6.7,5.9
447,2000,,6.6,5.5
447,2005,,6.3,5.4
447,2010,0.16,7.7,5.7
447,2015,,5.0,4.4
447,2020,0.02,5.6,4.7
449,1995,,6.6,5.8
449,2000,,6.8,5.4
449,2005,,6.4,5.2
449,2010,,6.6,5.2
449,2015,,5.8,5.1
449,2020,0.04,6.1,5.0
